Tamanho da lista,Tempo Médio (s),
2000,0.06771457999129779,Desordenada
3000,0.15329669999773615,Desordenada
500,0.003921439993428066,Desordenada
1000,0.01664990999852307,Desordenada
1500,0.03823540000594221,Desordenada
2000,0.06841014999081381,Desordenada
3000,0.15570951001718641,Desordenada
500,0.004034020000835881,Desordenada
1000,0.017128149996278808,Desordenada
1500,0.03849240999552421,Desordenada
2000,0.06851512999855913,Desordenada
3000,0.15821958000888117,Desordenada
500,0.00398578000604175,Desordenada
1000,0.017000209994148464,Desordenada
1500,0.038011540012666954,Desordenada
2000,0.06786935001146048,Desordenada
3000,0.1620432700146921,Desordenada
500,0.004223459993954748,Desordenada
1000,0.01702392001170665,Desordenada
1500,0.038629569998010996,Desordenada
2000,0.06749663000227883,Desordenada
3000,0.15643537000287325,Desordenada
500,0.004098189988872037,Desordenada
1000,0.016940860013710334,Desordenada
1500,0.03877068999572657,Desordenada
2000,0.07235689000226557,Desordenada
3000,0.15677183999796399,Desordenada
500,0.004000350012211129,Desordenada
1000,0.01679434998659417,Desordenada
1500,0.039099270006408914,Desordenada
2000,0.06917736999457702,Desordenada
3000,0.15644802000606434,Desordenada
500,0.00393370000529103,Desordenada
1000,0.016636809991905466,Desordenada
1500,0.03917602000874467,Desordenada
2000,0.06793053000583313,Desordenada
3000,0.15608597999671475,Desordenada
500,0.0039758200000505894,Desordenada
1000,0.017401149991201237,Desordenada
1500,0.03848580999183469,Desordenada
2000,0.06855039001093247,Desordenada
3000,0.15596308999811298,Desordenada
500,0.003899190004449338,Desordenada
1000,0.017123699997318907,Desordenada
1500,0.03748427999089472,Desordenada
2000,0.06789192999713123,Desordenada
3000,0.15411274001235142,Desordenada
500,0.003908219991717488,Desordenada
1000,0.017050480004400015,Desordenada
1500,0.038885970000410455,Desordenada
2000,0.06840157999540679,Desordenada
3000,0.15513128000311555,Desordenada
500,0.003916989994468168,Desordenada
1000,0.016683690005447716,Desordenada
1500,0.03837863000226207,Desordenada
2000,0.06817922000773251,Desordenada
3000,0.15685937999514862,Desordenada
500,0.003945089993067086,Desordenada
1000,0.01696935999789275,Desordenada
1500,0.03866049000062048,Desordenada
2000,0.06879729999345727,Desordenada
3000,0.15503883000346833,Desordenada
